Node Number	LOC_DEFX ()
476	1.1643e-002
477	1.179e-002
478	1.194e-002
479	1.2088e-002
480	1.2238e-002
481	1.2386e-002
482	1.2536e-002
483	1.2685e-002
484	1.2834e-002
485	1.2984e-002
486	1.3134e-002
487	1.3284e-002
488	1.3433e-002
489	1.3583e-002
490	1.3732e-002
491	1.3883e-002
492	1.4032e-002
493	1.4182e-002
494	1.433e-002
495	1.4481e-002
496	1.4629e-002
497	1.4782e-002
498	1.4929e-002
499	1.5083e-002
500	1.5228e-002
501	7.5708e-005
502	1.7291e-003
503	1.7946e-003
504	2.7111e-003
505	3.5344e-003
506	3.7075e-003
507	5.109e-003
508	5.8093e-003
509	6.97e-003
510	7.5492e-003
511	7.5642e-003
512	8.3417e-003
513	9.6257e-003
514	1.0245e-002
515	1.0965e-002
516	1.2044e-002
517	1.2347e-002
518	1.3991e-002
519	1.4778e-002
520	1.4744e-002
521	1.55e-002
522	1.6005e-002
523	1.6096e-002
524	1.3851e-002
525	1.7715e-002
526	1.7512e-002
527	1.8575e-002
528	1.8738e-002
529	1.9665e-002
530	1.8493e-002
531	1.8502e-002
532	1.7837e-002
533	1.5713e-002
534	1.4398e-002
535	1.2775e-002
536	1.174e-002
537	1.1026e-002
538	1.0344e-002
539	9.5572e-003
540	1.0178e-002
541	9.6074e-003
542	9.5624e-003
543	9.3699e-003
544	9.5497e-003
545	9.504e-003
546	9.7224e-003
547	9.8386e-003
548	9.5277e-003
549	9.7958e-003
550	9.522e-003
551	9.6417e-003
552	9.6224e-003
553	9.7398e-003
554	9.6479e-003
555	9.8e-003
556	9.6032e-003
557	9.8258e-003
558	9.7272e-003
559	9.8994e-003
560	9.8232e-003
561	9.9864e-003
562	1.0075e-002
563	1.0124e-002
564	1.024e-002
565	1.0286e-002
566	1.0397e-002
567	1.0493e-002
568	1.0585e-002
569	1.0695e-002
570	1.0795e-002
571	1.0929e-002
572	1.1072e-002
573	1.1202e-002
574	1.1347e-002
575	1.1493e-002
576	1.164e-002
577	1.1788e-002
578	1.1938e-002
579	1.2087e-002
580	1.2237e-002
581	1.2386e-002
582	1.2536e-002
583	1.2685e-002
584	1.2835e-002
585	1.2985e-002
586	1.3134e-002
587	1.3284e-002
588	1.3434e-002
589	1.3584e-002
590	1.3733e-002
591	1.3883e-002
592	1.4032e-002
593	1.4183e-002
594	1.4331e-002
595	1.4482e-002
596	1.463e-002
597	1.4783e-002
598	1.493e-002
599	1.5085e-002
600	1.523e-002
601	2.1671e-004
602	9.8941e-004
603	1.8703e-003
604	3.2382e-003
605	3.1656e-003
606	4.0332e-003
607	4.7596e-003
608	5.9431e-003
609	7.0081e-003
610	7.14e-003
611	8.0259e-003
612	9.303e-003
613	9.8206e-003
614	1.0457e-002
615	1.1522e-002
616	1.2086e-002
617	1.34e-002
618	1.4129e-002
619	1.4981e-002
620	1.596e-002
621	1.6206e-002
622	1.4037e-002
623	1.4665e-002
624	1.7613e-002
625	1.65e-002
626	1.8493e-002
627	1.8802e-002
628	1.8461e-002
629	1.689e-002
630	1.6449e-002
631	1.2778e-002
632	1.026e-002
633	1.0079e-002
634	9.5783e-003
635	9.6578e-003
636	9.441e-003
637	9.9635e-003
638	9.8447e-003
639	9.4756e-003
640	1.059e-002
641	9.9016e-003
642	9.8477e-003
643	1.0197e-002
644	9.6552e-003
645	1.0124e-002
646	1.0067e-002
647	9.9816e-003
648	9.95e-003
649	9.6344e-003
650	1.0076e-002
651	9.9082e-003
652	9.8536e-003
653	9.8612e-003
654	9.7535e-003
655	9.8311e-003
656	9.5766e-003
657	9.6555e-003
658	9.7647e-003
659	9.643e-003
660	9.8579e-003
661	9.7968e-003
