Node Number	LOC_DEFY (m)
570	6.0378e-005
571	9.2341e-005
572	9.0453e-005
573	9.6952e-005
574	9.8603e-005
575	9.7426e-005
576	9.7038e-005
577	9.6666e-005
578	9.6179e-005
579	9.5558e-005
580	9.5143e-005
581	9.4793e-005
582	9.4523e-005
583	9.4551e-005
584	9.4231e-005
585	9.458e-005
586	9.4212e-005
587	9.4775e-005
588	9.4294e-005
589	9.5088e-005
590	9.4549e-005
591	9.5421e-005
592	9.4681e-005
593	9.5253e-005
594	9.436e-005
595	9.4238e-005
596	9.3554e-005
597	9.2424e-005
598	9.3684e-005
599	9.1689e-005
600	9.4854e-005
601	1.4795e-005
602	1.1623e-005
603	3.5562e-004
604	3.0182e-005
605	8.0718e-005
606	5.256e-004
607	5.4325e-004
608	5.733e-004
609	4.3608e-005
610	3.3853e-004
611	5.9741e-004
612	4.1109e-005
613	6.0234e-004
614	8.1923e-004
615	4.4129e-004
616	1.8763e-004
617	9.7484e-005
618	4.5904e-004
619	7.7326e-005
620	8.6658e-005
621	5.4706e-004
622	6.1325e-004
623	2.7326e-004
624	3.592e-005
625	1.3464e-004
626	5.0248e-004
627	1.1439e-003
628	1.1731e-005
629	2.8799e-004
630	2.7461e-004
631	1.3212e-004
632	-1.e-006
633	2.9154e-004
634	7.9172e-005
635	1.2398e-004
636	1.0343e-004
637	8.1774e-005
638	4.3312e-005
639	9.9432e-005
640	6.2649e-005
641	8.821e-005
642	5.3267e-005
643	1.7643e-004
644	1.2864e-004
645	2.1123e-005
646	9.5721e-005
647	1.8826e-004
648	2.244e-004
649	9.9523e-005
650	1.3936e-004
651	1.5429e-004
652	1.8075e-004
653	2.0136e-004
654	3.0718e-005
655	1.3371e-004
656	1.4874e-004
657	1.0745e-004
658	4.6369e-005
659	1.2095e-004
660	7.0226e-005
661	7.0537e-005
662	8.2548e-005
663	5.5837e-005
664	6.2156e-005
665	6.9797e-005
666	6.4021e-005
667	6.9638e-005
668	7.147e-005
669	6.7701e-005
670	7.4582e-005
671	1.0958e-004
672	9.9743e-005
673	1.0455e-004
674	9.82e-005
675	9.7812e-005
676	9.705e-005
677	9.6349e-005
678	9.6078e-005
679	9.562e-005
680	9.5543e-005
681	9.5287e-005
682	9.5226e-005
683	9.525e-005
684	9.5019e-005
685	9.5311e-005
686	9.4965e-005
687	9.5497e-005
688	9.4945e-005
689	9.5725e-005
690	9.5278e-005
691	9.6056e-005
692	9.5405e-005
693	9.5981e-005
694	9.5015e-005
695	9.4944e-005
696	9.4218e-005
697	9.3294e-005
698	9.4338e-005
699	9.242e-005
700	9.5081e-005
701	3.9269e-004
702	2.2992e-005
703	3.1147e-004
704	5.166e-005
705	5.0434e-005
706	6.6532e-004
707	3.3297e-004
708	5.0349e-004
709	4.7351e-004
710	6.8848e-004
711	2.4631e-005
712	6.9152e-004
713	3.8623e-004
714	8.6227e-004
715	2.7802e-004
716	7.2177e-004
717	2.9366e-005
718	-1.e-006
719	4.4046e-005
720	-1.e-006
721	-1.e-006
722	7.6558e-005
723	4.2162e-004
724	4.488e-004
725	1.5832e-004
726	1.8855e-004
727	6.1422e-004
728	1.7527e-004
729	-1.e-006
730	-1.e-006
731	3.6955e-004
732	3.8685e-004
733	5.9356e-004
734	5.8139e-004
735	1.9929e-004
736	2.0364e-004
737	-1.e-006
738	6.342e-005
739	2.7015e-004
740	3.2114e-004
741	-1.e-006
742	1.2342e-004
743	1.9558e-004
744	2.2247e-004
745	2.5206e-005
746	1.7133e-004
747	1.8502e-004
748	1.5793e-004
749	1.089e-004
750	1.865e-004
751	1.0761e-004
752	2.2226e-004
753	6.4845e-005
754	5.5254e-005
755	5.0197e-005
756	9.7181e-005
757	7.9196e-005
758	5.6581e-005
759	3.4729e-005
760	1.0959e-004
761	2.9369e-006
762	1.0575e-004
763	1.23e-004
764	1.1393e-004
765	1.0953e-004
